number wat mols: 552, number HB: 5, HB_score: 3.534986955544899
number wat mols: 215, number HB: 4, HB_score: 3.8292137964098036
number wat mols: 127, number HB: 4, HB_score: 3.356996822992933
number wat mols: 123, number HB: 5, HB_score: 2.618068601888982
number wat mols: 91, number HB: 4, HB_score: 3.088590619387661
number wat mols: 46, number HB: 5, HB_score: 2.1505600128111397
number wat mols: 43, number HB: 5, HB_score: 2.121747460841898
number wat mols: 11, number HB: 4, HB_score: 1.8211602868378718
number wat mols: 13, number HB: 5, HB_score: 1.6702776523348104
number wat mols: 29, number HB: 4, HB_score: 2.320595787106084
number wat mols: 24, number HB: 4, HB_score: 2.213363839400643
number wat mols: 20, number HB: 2, HB_score: 4.47213595499958
number wat mols: 10, number HB: 4, HB_score: 1.7782794100389228
number wat mols: 0, number HB: 5, HB_score: 0.0
number wat mols: 13, number HB: 2, HB_score: 3.605551275463989
number wat mols: 23, number HB: 6, HB_score: 1.6863768795413334
number wat mols: 28, number HB: 5, HB_score: 1.9472943612303364
number wat mols: 25, number HB: 3, HB_score: 2.924017738212866
number wat mols: 16, number HB: 4, HB_score: 2.0
number wat mols: 11, number HB: 5, HB_score: 1.615394266202178
number wat mols: 4, number HB: 5, HB_score: 1.3195079107728942
number wat mols: 20, number HB: 3, HB_score: 2.7144176165949063
number wat mols: 6, number HB: 4, HB_score: 1.5650845800732873
number wat mols: 0, number HB: 4, HB_score: 0.0
number wat mols: 7, number HB: 5, HB_score: 1.4757731615945522
